University Name,Program Name,Program URL
Universidad Pedagógica Nacional México,Universidad Pedagógica Nacional México,https://ror.org/023m5rq87
Universidad Internacional Iberoamericana,Universidad Internacional Iberoamericana,https://ror.org/04587ry40
Universidad Juárez del Estado de Durango,Universidad Juárez del Estado de Durango,https://ror.org/02w0sqd02
Universidad Politécnica de Pachuca,Universidad Politécnica de Pachuca,https://ror.org/00r63rv29
Universidad Tecnológica de México,Universidad Tecnológica de México,https://ror.org/01687hb54
Universidad Autónoma de Tlaxcala,Universidad Autónoma de Tlaxcala,https://ror.org/021vseb03
Universidad La Salle Ciudad de México,Universidad La Salle Ciudad de México,https://ror.org/05c99rg80
Universidad Politécnica del Estado de Morelos,Universidad Politécnica del Estado de Morelos,https://ror.org/04m34bn97
Colegio de Michoacán,Colegio de Michoacán,https://ror.org/search?page=1&query=Colegio+de+Mic
Universidad Estatal de Sonora (Centro de Estudios Superiores del Estado de Sonora),Universidad Estatal de Sonora (Centro de Estudios Superiores del Estado de Sonora),https://ror.org/04asyez39
Universidad Iberoamericana Puebla,Universidad Iberoamericana Puebla,https://ror.org/00pcv0g02
Universidad del Papaloapan,Universidad del Papaloapan,https://ror.org/012wxwj57
Universidad de Montemorelos,Universidad de Montemorelos,https://ror.org/000vj2f52
Instituto Tecnológico de Durango,Instituto Tecnológico de Durango,https://ror.org/search?page=1&query=Instituto+Tecn
Instituto Tecnológico de La Laguna,Instituto Tecnológico de La Laguna,https://ror.org/00xbw4a70
Universidad del Mar,Universidad del Mar,https://ror.org/00kyx8y88
Colegio de la Frontera Norte,Colegio de la Frontera Norte,https://ror.org/04hft8h57
Instituto Latinoamericano de la Comunicacion Educativa,Instituto Latinoamericano de la Comunicacion Educativa,https://ror.org/search?page=1&query=Instituto+Lati
Centro de Investigación y Estudios Superiores en Antropologia Social,Centro de Investigación y Estudios Superiores en Antropologia Social,https://ror.org/04gsyfx35
Universidad Politécnica de Sinaloa,Universidad Politécnica de Sinaloa,https://ror.org/search?page=1&query=Universidad+Po
Universidad Marista de Mérida,Universidad Marista de Mérida,https://ror.org/05hpc6k82
Universidad Técnica Superior de Xalapa UNITEX,Universidad Técnica Superior de Xalapa UNITEX,https://ror.org/search?page=1&query=Universidad+Té
Colegio de Sonora,Colegio de Sonora,https://ror.org/04habxs80
Instituto Tecnológico de Hermosillo,Instituto Tecnológico de Hermosillo,https://ror.org/00k6bry75
Instituto Tecnológico de Pachuca,Instituto Tecnológico de Pachuca,https://ror.org/search?page=1&query=Instituto+Tecn
Instituto Tecnológico de La Paz,Instituto Tecnológico de La Paz,https://ror.org/0460tzy11
Universidad del Valle de Atemajac,Universidad del Valle de Atemajac,https://ror.org/026p1jb43
Universidad de la Sierra Sur,Universidad de la Sierra Sur,https://ror.org/search?page=1&query=Universidad+de
Instituto Tecnológico de Mérida,Instituto Tecnológico de Mérida,https://ror.org/01af24v42
Centro Universitario CIFE,Centro Universitario CIFE,https://ror.org/search?page=1&query=Centro+Univers
Centro de Estudios Superiores de Veracruz,Centro de Estudios Superiores de Veracruz,https://ror.org/search?page=1&query=Centro+de+Estu
ICON University,ICON University,https://ror.org/search?page=1&query=ICON+Universit
Universidad Politécnica de Guanajuato,Universidad Politécnica de Guanajuato,https://ror.org/search?page=1&query=Universidad+Po
Universidad Politécnica de Tulancingo,Universidad Politécnica de Tulancingo,https://ror.org/04bhgg012
IPADE Business School,IPADE Business School,https://ror.org/search?page=1&query=IPADE+Business
